index	country	country_code	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	2020-2025	2025-2030	2030-2035	2035-2040	2040-2045	2045-2050	2050-2055	2055-2060	2060-2065	2065-2070	2070-2075	2075-2080	2080-2085	2085-2090	2090-2095	2095-2100	last.observed
1	Afghanistan	4	7.45	7.45	7.45	7.45	7.45	7.45	7.45	7.4689	7.482	7.6537	7.1816	6.3467	5.1347	4.0365	3.3198	2.8497	2.5287	2.2921	2.1091	1.9706	1.8642	1.7872	1.736	1.7078	1.6995	1.7018	1.7101	1.7251	1.739	1.7544	2013
2	Albania	8	6.23	6.5462	6.23	5.259	4.6001	3.9	3.409	3.15	2.786	2.3841	1.9465	1.5955	1.784	1.7706	1.7558	1.7456	1.7403	1.7396	1.7423	1.7474	1.7541	1.7632	1.7732	1.7838	1.7945	1.804	1.814	1.8233	1.8314	1.839	2013
3	Algeria	12	7.278	7.384	7.648	7.648	7.572	7.175	6.315	5.302	4.12	2.885	2.3843	2.724	2.928	2.5451	2.3472	2.2006	2.0948	2.0173	1.9649	1.9317	1.9111	1.8987	1.8904	1.8874	1.887	1.8874	1.8889	1.8906	1.8937	1.8955	2013
4	Angola	24	7.3	7.35	7.4	7.4	7.35	7.35	7.3	7.25	7.15	7	6.8	6.6	6.2	5.9	5.6	5.1	4.0884	3.7267	3.4107	3.1452	2.9297	2.7468	2.5909	2.4622	2.3484	2.2532	2.1715	2.1024	2.0453	2.003	2013
5	Antigua and Barbuda	28	4.5	4.5	4.3	4	3.2617	2.2357	2.1392	2.0708	2.0938	2.3125	2.2714	2.1694	2.0963	2.0343	1.9845	1.9443	1.9134	1.8887	1.8723	1.8614	1.8542	1.8515	1.8496	1.8508	1.8537	1.8561	1.8585	1.8621	1.8655	1.8692	2013
6	Azerbaijan	31	5.493	5.41	5.637	4.935	4.289	3.624	3.036	2.95	2.9	2.2	2	2	1.9305	1.8584	1.8093	1.7829	1.7697	1.7655	1.766	1.7702	1.7769	1.7841	1.794	1.8034	1.812	1.8204	1.8286	1.8375	1.844	1.851	2013
7	Argentina	32	3.154	3.1265	3.0895	3.049	3.1455	3.44	3.15	3.053	2.9	2.63	2.515	2.4	2.345	2.23	2.1247	2.0328	1.9532	1.8846	1.8257	1.7754	1.7324	1.7082	1.7356	1.7631	1.7905	1.8174	1.8435	1.8685	1.8923	1.9145	2013
8	Australia	36	3.18	3.406	3.274	2.871	2.535	1.989	1.91	1.859	1.8628	1.7866	1.7739	1.9525	1.9174	1.8723	1.8674	1.8619	1.8607	1.8587	1.8593	1.8587	1.8604	1.8614	1.8635	1.8673	1.87	1.873	1.8755	1.8773	1.88	1.8853	2013
9	Austria	40	2.1046	2.5652	2.7777	2.5689	2.0369	1.6513	1.5957	1.448	1.4837	1.3879	1.3796	1.3992	1.4661	1.5242	1.5744	1.6178	1.6548	1.6873	1.7131	1.7371	1.7569	1.7736	1.7887	1.8034	1.8141	1.8242	1.8324	1.8403	1.8477	1.854	2013
10	Bahamas	44	4.05	4.31	4.5	3.5756	3.5367	2.9547	3.0503	2.6498	2.6376	2.3275	1.8653	1.9076	1.8882	1.869	1.8539	1.8424	1.8342	1.8286	1.8238	1.8231	1.825	1.8272	1.8313	1.8354	1.8399	1.8437	1.849	1.8519	1.8585	1.8625	2013
11	Bahrain	48	6.97	6.97	7.175	6.97	5.945	5.228	4.633	4.08	3.4014	2.8711	2.6747	2.2341	2.0976	1.9762	1.8793	1.806	1.7494	1.7133	1.6956	1.6909	1.6951	1.7079	1.719	1.7323	1.7464	1.762	1.7762	1.7886	1.8016	1.812	2013
12	Bangladesh	50	6.359	6.6225	6.804	6.9206	6.9098	6.6301	5.9773	4.9834	4.0603	3.4324	2.9344	2.4793	2.232	2.0733	1.9503	1.8531	1.7831	1.7385	1.7148	1.7074	1.7105	1.7222	1.7385	1.7546	1.7709	1.7867	1.8026	1.8152	1.8292	1.839	2013
13	Armenia	51	4.494	4.494	4.453	3.447	3.037	2.503	2.376	2.575	2.38	1.75	1.721	1.735	1.5523	1.7435	1.7495	1.7549	1.7613	1.7708	1.7786	1.7866	1.7959	1.8054	1.8126	1.8212	1.8273	1.8356	1.8417	1.8469	1.8531	1.8594	2013
14	Barbados	52	4.417	4.2969	4.2731	3.5328	2.7176	2.1568	1.9181	1.7744	1.73	1.74	1.75	1.77	1.79	1.79	1.7974	1.8047	1.8094	1.8146	1.8181	1.822	1.8237	1.827	1.8286	1.8297	1.8308	1.8318	1.8339	1.8348	1.8356	1.8365	2013
15	Belgium	56	2.343	2.496	2.6466	2.3881	2.0143	1.7049	1.5959	1.5583	1.6119	1.6041	1.6836	1.8182	1.8162	1.8705	1.8874	1.9013	1.9117	1.9209	1.9279	1.9334	1.9373	1.9415	1.9446	1.9469	1.9483	1.951	1.9522	1.954	1.9547	1.9554	2013
16	Bhutan	64	6.67	6.67	6.67	6.67	6.67	6.67	6.3885	6.1064	5.0703	4.1287	3.1436	2.6187	2.1	1.9158	1.7807	1.6789	1.612	1.5676	1.5473	1.5455	1.5546	1.5705	1.5882	1.6054	1.623	1.638	1.6519	1.6635	1.6761	1.6862	2013
17	Bolivia (Plurinational State of)	68	6.89	6.772	6.614	6.409	6.15	5.89	5.514	5.085	4.7039	4.2892	3.8184	3.3907	3.0424	2.7399	2.4719	2.2613	2.0957	1.9687	1.8726	1.8006	1.7471	1.7098	1.7353	1.7786	1.821	1.8614	1.8987	1.9323	1.9619	1.985	2013
18	Botswana	72	6.5	6.575	6.65	6.7	6.546	6.366	5.965	5.109	4.321	3.7	3.18	2.896	2.6419	2.4446	2.2862	2.155	2.0475	1.9628	1.8974	1.848	1.816	1.795	1.7866	1.7826	1.7841	1.7892	1.7953	1.8015	1.8112	1.8196	2013
19	Brazil	76	6.1505	6.1505	6.1505	5.38	4.7175	4.305	3.8	3.1	2.6	2.45	2.2505	1.9	1.8184	1.7495	1.7098	1.6894	1.6828	1.6851	1.6922	1.705	1.7193	1.7353	1.7502	1.7648	1.7784	1.7908	1.8022	1.8133	1.8229	1.8329	2013
20	Belize	84	6.65	6.55	6.45	6.35	6.25	6.2	5.4	4.7	4.347	3.85	3.35	2.84	2.64	2.5173	2.366	2.2423	2.1386	2.0539	1.9814	1.9251	1.8823	1.8514	1.8317	1.8174	1.8089	1.8076	1.8068	1.81	1.8158	1.8198	2013
21	Solomon Islands	90	6.4	6.4	6.4	6.539	7.236	7.041	6.431	6.125	5.532	4.905	4.6	4.4	4.0577	3.765	3.5064	3.2834	3.0926	2.9281	2.7818	2.653	2.5359	2.4311	2.3291	2.2433	2.1692	2.1033	2.0484	2.0029	1.9678	1.9402	2013
22	Brunei Darussalam	96	6.999	6.3754	6.5546	5.5933	5.8721	4.7061	3.9232	3.7191	3.2774	2.5992	2.0523	2.0045	1.9	1.915	1.8466	1.7947	1.7608	1.7393	1.7302	1.728	1.731	1.739	1.7504	1.762	1.7724	1.7845	1.7943	1.806	1.815	1.8241	2013
23	Bulgaria	100	2.5264	2.2969	2.2171	2.1304	2.1573	2.1927	2.0149	1.9458	1.5527	1.2008	1.2404	1.5005	1.5188	1.6108	1.674	1.7238	1.763	1.7937	1.8186	1.8386	1.854	1.8673	1.8794	1.8866	1.8929	1.8993	1.9064	1.9094	1.9152	1.9186	2013
24	Myanmar	104	6	6	6.1	6.1	5.738	5.21	4.7	3.8	3.2	2.95	2.85	2.55	2.25	1.8557	1.7854	1.7414	1.715	1.7018	1.7008	1.7067	1.7207	1.7331	1.7487	1.7622	1.7757	1.7893	1.8006	1.8136	1.8232	1.8315	2013
25	Burundi	108	6.801	6.857	7.071	7.268	7.343	7.476	7.428	7.592	7.431	7.184	6.908	6.523	6.0756	5.6356	5.2168	4.8218	4.4582	4.1234	3.8264	3.5703	3.3396	3.1376	2.9693	2.8182	2.6857	2.5668	2.4595	2.3637	2.2791	2.204	2013
